"","V2185","V2214","V2215","V2222","V2220","V2211","V2205","V2206","V2207","V2208","V2120","V2224","V2221","V2203","V2204","V675","V674","V672","V2225","V1657","V855","V2413","V2416","V2124","V2412","V2210","V676","V2414","V853","V2212"
"Array.10",2,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,2,0,0,0,0,-1,0,0,0,-1
"Array.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0
"Array.102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
"Array.104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.105",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.106",2,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,2,2,0,0,1,-1,1,0,-1,-1,-1,-1,-1,1,-1,0,-1
"Array.107",-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,0,0
"Array.110",2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,2,0,0,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,-1
"Array.111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
"Array.112",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,-1
"Array.113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,0
"Array.114",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,-1
"Array.117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0
"Array.118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,-1,0
"Array.124",0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,1,0,1,0,2,1,0,0,1,0,1
"Array.125",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.129",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,1,-1,-1,-1,-1,1,-1
"Array.130",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,1,0,-1,-1,0,1,-1
"Array.134",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-1,-1,-1,1,-1,1,0,-1,-1,1
"Array.135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
"Array.137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Array.138",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,0
"Array.139",2,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,0,0,1,0,0,-1,-1,1,-1,-1,0,-1,0,-1
"Array.141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0
"Array.142",1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
"Array.143",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,1,-1,-1,0,0
"Array.144",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,-1
"Array.145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0
"Array.146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0
"Array.148",2,-1,-1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,0,1,1,0,1,-1,0,1,0,-1
"Array.149",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,0,1,0,1,-1,0,-1,1
"Array.152",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
"Array.153",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1
"Array.154",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,-1,0,1,1,0,1,0,1
"Array.159",-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1
"Array.16",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,0,-1
"Array.17",2,0,0,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0,1,-1,-1,2,-1,0,-1,-1,1,0
"Array.18",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,2,-1,-1,-1,-1,-1,-1
"Array.19",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,0,-1,-1,0,0,-1
"Array.2",1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
"Array.21",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0
